eventDate,municipality,locality,verbatimLocality,decimalLatitude,decimalLongitude,scientificName,class,order,family
2015-08-16/2015-12-04,Dibulla,Rincon Mosquito,,11.2165,-73.440639,"Tyrannus melancholicus Vieillot, 1819",Aves,Passeriformes,Tyrannidae
2015-08-16/2015-12-04,Dibulla,Rincon Mosquito,,11.2165,-73.440639,"Tyrannus melancholicus Vieillot, 1819",Aves,Passeriformes,Tyrannidae
2015-08-16/2015-12-04,Dibulla,Buen Ejemplo,,11.140056,-73.350139,"Tyrannus melancholicus Vieillot, 1819",Aves,Passeriformes,Tyrannidae
2015-08-16/2015-12-04,Dibulla,Buen Ejemplo,,11.140056,-73.350139,"Tyrannus melancholicus Vieillot, 1819",Aves,Passeriformes,Tyrannidae
2015-08-16/2015-12-04,Dibulla,Buen Ejemplo,,11.140056,-73.350139,"Tyrannus melancholicus Vieillot, 1819",Aves,Passeriformes,Tyrannidae
